Date,Time,Activity,Variation,Training Type,Set #,Reps,Weight (lb),Notes
2025-06-24,,,,,,,,
2025-06-24,,,,,,,,
2025-06-24,,,,,,,,
2025-06-24,,,,,,,,
2025-06-24,,,,,,,,
2025-06-24,,Preacher curl,,,,5,15,
2025-06-24,,Preacher curl,,,,5,20,
2025-06-24,,Preacher curl,,,,3,25,
2025-06-24,,Preacher curl,,,,3,25,
2025-06-24,,Preacher curl,,,,6,20,
2025-06-24,,Preacher curl,,,,4,20,
2025-06-24,,Preacher curl,,,,7,15,
2025-06-24,,Preacher curl,,,,6,15,
2025-06-24,,Preacher curl,,,,5,15,
2025-06-24,,Wrist curls ,Reverse,,,5,15,
2025-06-24,,Wrist curls ,,,,10,15,
2025-06-24,,Wrist curls ,Reverse,,,5,20,
2025-06-24,,Wrist curls ,,,,10,20,
2025-06-24,,Wrist curls ,,,,8,25,
2025-06-24,,Wrist curls ,Reverse,,,6,15,
2025-06-24,,Wrist curls ,Reverse,,,8,15,
2025-06-24,,Wrist curls ,,,,10,25,
2025-06-24,,Leg curls,Lying,,,5,7,
2025-06-24,,Leg curls,Lying,,,3,10,
2025-06-24,,Leg curls,Lying,,,3,10,
2025-06-24,,Leg curls,Lying,,,3,10,
2025-06-24,,Leg curls,Lying,,,6,8,
2025-06-24,,rotary trunk twists,,,,10,6,
2025-06-24,,rotary trunk twists,,,,10,9,
2025-06-24,,rotary trunk twists,,,,10,9,
,,,,,,,,
,,,,,,,,
2025-06-19,,Barbell Squat,Low Bar,,,5,115,
2025-06-19,,Barbell Squat,Low Bar,,,5,225,
2025-06-19,,Barbell Squat,Low Bar,,,5,135,
2025-06-19,,Leg curls,Lying,,,5,8,
2025-06-19,,Leg curls,Lying,,,3,10,
2025-06-19,,Leg curls,Lying,,,2,9,
2025-06-19,,Leg curls,Lying,,,3,9,
2025-06-19,,Leg curls,Lying,,,2,8,
2025-06-19,,Leg curls,Lying,,,5,8,
2025-06-19,,Leg curls,Lying,,,7,7,
2025-06-19,,leg extension,seated,,,5,13,
2025-06-19,,leg extension,seated,,,4,12,
2025-06-19,,leg extension,seated,,,5,10,
