Date,Time,Activity,Variation,Training Type,Set #,Reps,Weight (lb),Notes,Weight_Unit
2025-06-24,,preacher curl,,,,5.0,20.0,,kg
2025-06-24,,preacher curl,,,,3.0,25.0,,kg
2025-06-24,,preacher curl,,,,3.0,25.0,,kg
2025-06-24,,preacher curl,,,,6.0,20.0,,kg
2025-06-24,,preacher curl,,,,4.0,20.0,,kg
2025-06-24,,preacher curl,,,,7.0,15.0,,kg
2025-06-24,,preacher curl,,,,6.0,15.0,,kg
2025-06-24,,preacher curl,,,,5.0,15.0,,kg
2025-06-24,,wrist curls,reverse,,,5.0,15.0,,kg
2025-06-24,,wrist curls,,,,10.0,15.0,,kg
2025-06-24,,wrist curls,reverse,,,5.0,20.0,,kg
2025-06-24,,wrist curls,,,,10.0,20.0,,kg
2025-06-24,,wrist curls,,,,8.0,25.0,,kg
2025-06-24,,wrist curls,reverse,,,6.0,15.0,,kg
2025-06-24,,wrist curls,reverse,,,8.0,15.0,,kg
2025-06-24,,wrist curls,,,,10.0,25.0,,kg
2025-06-24,,leg curls,lying,,,5.0,7.0,,level
2025-06-24,,leg curls,lying,,,3.0,10.0,,level
2025-06-24,,leg curls,lying,,,3.0,10.0,,level
2025-06-24,,leg curls,lying,,,3.0,10.0,,level
2025-06-24,,leg curls,lying,,,6.0,8.0,,level
2025-06-24,,rotary trunk twists,,,,10.0,6.0,,level
2025-06-24,,rotary trunk twists,,,,10.0,9.0,,level
2025-06-24,,rotary trunk twists,,,,10.0,9.0,,level
2025-06-19,,barbell squat,low bar,,,5.0,115.0,,kg
2025-06-19,,barbell squat,low bar,,,5.0,225.0,,kg
2025-06-19,,barbell squat,low bar,,,5.0,135.0,,kg
2025-06-19,,leg curls,lying,,,5.0,8.0,,level
2025-06-19,,leg curls,lying,,,3.0,10.0,,level
2025-06-19,,leg curls,lying,,,2.0,9.0,,level
2025-06-19,,leg curls,lying,,,3.0,9.0,,level
2025-06-19,,leg curls,lying,,,2.0,8.0,,level
2025-06-19,,leg curls,lying,,,5.0,8.0,,level
2025-06-19,,leg curls,lying,,,7.0,7.0,,level
2025-06-19,,leg extension,seated,,,5.0,13.0,,level
2025-06-19,,leg extension,seated,,,4.0,12.0,,level
2025-06-19,,leg extension,seated,,,5.0,10.0,,level
2025-06-19,,calf raise,,,,10.0,185.0,,kg
2025-06-19,,leg press,,,,10.0,185.0,,kg
2025-06-19,,calf raise,,,,10.0,185.0,,kg
2025-06-19,,leg press,,,,5.0,185.0,,kg
2025-06-19,,calf raise,,,,10.0,185.0,,kg
2025-06-19,,leg press,,,,10.0,185.0,,kg
2025-06-16,,bench press,flat,,,11.0,95.0,,kg
2025-06-16,,bench press,flat,,,5.0,135.0,,kg
2025-06-16,,bench press,flat,,,4.0,205.0,,kg
2025-06-16,,bench press,flat,,,10.0,165.0,,kg
2025-06-16,,lat pulldown,wide,,,10.0,9.0,,level
2025-06-16,,bench press,incline,,,10.0,95.0,,kg
2025-06-16,,lat pulldown,wide,,,5.0,12.0,,level
2025-06-16,,bench press,incline,,,5.0,115.0,,kg
2025-06-16,,lat pulldown,wide,,,10.0,11.0,,level
2025-06-16,,bench press,incline,,,5.0,135.0,,kg
2025-06-16,,bench press,incline,,,1.0,165.0,,kg
2025-06-16,,bench press,incline,,,5.0,145.0,,kg
2025-06-16,,lever seated row,,,,6.0,8.0,,level
2025-06-16,,lever seated row,,,,7.0,13.0,,level
2025-06-16,,seated chest fly,,,,6.0,175.0,,kg
2025-06-16,,lever seated row,,,,5.0,18.0,,level
2025-06-16,,seated chest fly,,,,5.0,175.0,,kg
2025-06-16,,dips,,,,3.0,0.0,,kg
2025-06-16,,lever seated row,,,,2.0,23.0,,level
2025-06-16,,lever seated row,,,,3.0,20.0,,level
2025-06-16,,dips,,,,2.0,0.0,,kg
2025-06-16,,seated chest fly,,,,2.0,220.0,,kg
2025-06-16,,seated chest fly,,,,3.0,175.0,,kg
2025-06-16,,lever seated row,,,,8.0,15.0,,level
2025-06-16,,seated chest fly,,,,6.0,135.0,,kg
2025-06-16,,seated chest fly,,,,5.0,130.0,,kg
2025-06-16,,dips,,,,1.0,0.0,,kg
2025-06-16,,t-bar row,,,,5.0,80.0,,kg
2025-06-16,,t-bar row,,,,5.0,105.0,,kg
2025-06-16,,t-bar row,,,,5.0,90.0,,kg
2025-06-16,,t-bar row,,,,5.0,80.0,,kg
2025-06-16,,preacher curl,,,,5.0,15.0,,kg
2025-06-16,,preacher curl,,,,5.0,20.0,,kg
2025-06-16,,preacher curl,,,,2.0,25.0,,kg
2025-06-16,,preacher curl,,,,3.0,20.0,,kg
2025-06-16,,preacher curl,,,,5.0,20.0,,kg
2025-06-16,,preacher curl,,,,10.0,15.0,,kg
2025-06-16,,preacher curl,,,,7.0,15.0,,kg
2025-06-16,,preacher curl,,,,7.0,15.0,,kg
2025-06-16,,wrist curls,reverse,,,5.0,15.0,,kg
2025-06-16,,wrist curls,,,,5.0,15.0,,kg
2025-06-16,,wrist curls,reverse,,,5.0,20.0,,kg
2025-06-16,,wrist curls,,,,10.0,20.0,,kg
2025-06-16,,wrist curls,reverse,,,4.0,20.0,,kg
2025-06-16,,wrist curls,,,,12.0,20.0,,kg
2025-06-16,,wrist curls,reverse,,,4.0,20.0,,kg
2025-06-16,,wrist curls,,,,12.0,20.0,,kg
2025-07-21,,bench press,flat,,,10.0,135.0,,kg
2025-07-21,,bench press,flat,,,3.0,205.0,,kg
2025-07-21,,bench press,flat,,,2.0,205.0,,kg
2025-07-21,,bench press,flat,,,5.0,205.0,,kg
2025-07-21,,bench press,flat,,,5.0,105.0,,kg
2025-07-21,,bench press,flat,,,4.0,105.0,,kg
2025-07-21,,bench press,flat,,,3.0,105.0,,kg
2025-07-21,,bench press,flat,,,2.0,105.0,,kg
2025-07-21,,bench press,flat,,,5.0,95.0,,kg
2025-07-21,,bench press,flat,,,6.0,145.0,,kg
2025-07-21,,lat pulldown,wide,,,5.0,11.0,,level
2025-07-21,,bench press,incline,,,5.0,95.0,,kg
2025-07-21,,lat pulldown,wide,,,4.0,13.0,,level
2025-07-21,,bench press,incline,,,5.0,135.0,,kg
2025-07-21,,bench press,incline,,,5.0,115.0,,kg
2025-07-21,,lat pulldown,wide,,,7.0,12.0,,level
2025-07-21,,lat pulldown,wide,,,5.0,12.0,,level
2025-07-21,,bench press,incline,,,5.0,145.0,,kg
2025-07-21,,lat pulldown,wide,,,10.0,11.0,,level
2025-07-21,,bench press,incline,,,5.0,145.0,,kg
2025-07-21,,lat pulldown,wide,,,5.0,11.0,,level
2025-07-21,,bench press,incline,,,3.0,145.0,,kg
2025-07-21,,lat pulldown,wide,,,10.0,11.0,,level
2025-07-21,,lever seated row,wide,,,5.0,13.0,,level
2025-07-21,,seated chest fly,,,,10.0,145.0,,kg
2025-07-21,,lever seated row,,,,3.0,17.0,,level
2025-07-21,,lever seated row,,,,2.0,15.0,,level
2025-07-21,,seated chest fly,,,,3.0,205.0,,kg
